0   1   2   3   4   5   6   7   8   9   10  
1   0   0   0   1   1   1   0   0   0   0   
2   0   0   0   1   *   1   0   0   0   0   
3   0   1   1   2   1   1   0   0   1   1   
4   0   1   *   1   0   0   0   0   1   *   
5   0   1   1   1   0   0   1   1   2   1   
6   0   0   0   0   1   1   3   *   2   0   
7   1   2   1   1   1   *   3   *   2   0   
8   *   2   *   2   2   3   3   2   1   0   
9   1   2   1   3   *   3   *   1   0   0   
10  0   0   0   2   *   3   1   1   0   0   
