0   1   2   3   4   5   6   7   8   9   10  
1   0   0   0   1   X   1   0   0   0   0   
2   0   0   0   1   X   1   0   0   0   0   
3   0   1   1   2   1   1   0   0   1   1   
4   0   1   X   1   0   0   0   0   1   X   
5   0   1   1   1   0   0   1   1   2   X   
6   0   0   0   0   1   1   3   X   X   X   
7   1   2   1   1   1   X   X   X   X   X   
8   F   2   X   X   X   X   X   X   X   X   
9   X   X   X   X   X   X   X   X   X   X   
10  X   X   X   X   X   X   X   X   X   X   
