0   1   2   3   4   5   6   7   8   9   10  
1   0   0   1   X   X   X   X   X   X   X   
2   0   1   2   X   X   X   X   X   X   X   
3   0   1   X   2   2   2   X   X   X   X   
4   0   1   1   1   0   1   1   1   1   X   
5   0   0   0   0   0   0   0   0   1   X   
6   0   0   0   0   1   1   1   1   2   X   
7   0   0   0   0   1   X   X   X   X   X   
8   1   1   0   0   2   X   X   X   X   X   
9   X   1   0   0   1   X   X   X   X   X   
10  X   1   0   0   1   X   X   X   X   X   
